1u8
[[[0.0000000000000000000000000f32,0.0634920634920634885389745f32,0.1269841269841269770779490f32,0.1904761904761904656169236f32],
[0.0158730158730158721347436f32,0.0793650793650793606737182f32,0.1428571428571428492126927f32,0.2063492063492063377516672f32],
[0.0317460317460317442694873f32,0.0952380952380952328084618f32,0.1587301587301587213474363f32,0.2222222222222222098864108f32],
[0.0476190476190476164042309f32,0.1111111111111111049432054f32,0.1746031746031745934821799f32,0.2380952380952380820211545f32]],
[[0.2539682539682539541558981f32,0.3174603174603174426948726f32,0.3809523809523809312338471f32,0.4444444444444444197728217f32],
[0.2698412698412698262906417f32,0.3333333333333333148296163f32,0.3968253968253968033685908f32,0.4603174603174602919075653f32],
[0.2857142857142856984253854f32,0.3492063492063491869643599f32,0.4126984126984126755033344f32,0.4761904761904761640423089f32],
[0.3015873015873015705601290f32,0.3650793650793650590991035f32,0.4285714285714285476380780f32,0.4920634920634920361770526f32]],
[[0.5079365079365079083117962f32,0.5714285714285713968507707f32,0.6349206349206348853897452f32,0.6984126984126983739287198f32],
[0.5238095238095238359576911f32,0.5873015873015873244966656f32,0.6507936507936508130356401f32,0.7142857142857143015746146f32],
[0.5396825396825396525812835f32,0.6031746031746031411202580f32,0.6666666666666666296592325f32,0.7301587301587301181982070f32],
[0.5555555555555555802271783f32,0.6190476190476190687661529f32,0.6825396825396825573051274f32,0.7460317460317460458441019f32]],
[[0.7619047619047618624676943f32,0.8253968253968253510066688f32,0.8888888888888888395456433f32,0.9523809523809523280846179f32],
[0.7777777777777777901135892f32,0.8412698412698412786525637f32,0.9047619047619047671915382f32,0.9682539682539682557305127f32],
[0.7936507936507936067371816f32,0.8571428571428570952761561f32,0.9206349206349205838151306f32,0.9841269841269840723541051f32],
[0.8095238095238095343830764f32,0.8730158730158730229220510f32,0.9365079365079365114610255f32,1.0000000000000000000000000f32]]]
[[[[0.0000000000000000000000000,0.0125000000000000006938894,0.0250000000000000013877788],
[0.1125000000000000027755576,0.1250000000000000000000000,0.1375000000000000111022302],
[0.2250000000000000055511151,0.2374999999999999888977698,0.2500000000000000000000000]],
[[0.0374999999999999986122212,0.0500000000000000027755576,0.0625000000000000000000000],
[0.1499999999999999944488849,0.1625000000000000055511151,0.1749999999999999888977698],
[0.2625000000000000111022302,0.2750000000000000222044605,0.2874999999999999777955395]],
[[0.0749999999999999972244424,0.0874999999999999944488849,0.1000000000000000055511151],
[0.1875000000000000000000000,0.2000000000000000111022302,0.2124999999999999944488849],
[0.2999999999999999888977698,0.3125000000000000000000000,0.3250000000000000111022302]]],
[[[0.3375000000000000222044605,0.3499999999999999777955395,0.3624999999999999888977698],
[0.4500000000000000111022302,0.4625000000000000222044605,0.4749999999999999777955395],
[0.5625000000000000000000000,0.5749999999999999555910790,0.5875000000000000222044605]],
[[0.3750000000000000000000000,0.3875000000000000111022302,0.4000000000000000222044605],
[0.4874999999999999888977698,0.5000000000000000000000000,0.5124999999999999555910790],
[0.5999999999999999777955395,0.6125000000000000444089210,0.6250000000000000000000000]],
[[0.4124999999999999777955395,0.4249999999999999888977698,0.4375000000000000000000000],
[0.5250000000000000222044605,0.5374999999999999777955395,0.5500000000000000444089210],
[0.6374999999999999555910790,0.6500000000000000222044605,0.6624999999999999777955395]]],
[[[0.6750000000000000444089210,0.6875000000000000000000000,0.6999999999999999555910790],
[0.7874999999999999777955395,0.8000000000000000444089210,0.8125000000000000000000000],
[0.9000000000000000222044605,0.9124999999999999777955395,0.9250000000000000444089210]],
[[0.7125000000000000222044605,0.7249999999999999777955395,0.7375000000000000444089210],
[0.8249999999999999555910790,0.8375000000000000222044605,0.8499999999999999777955395],
[0.9375000000000000000000000,0.9499999999999999555910790,0.9625000000000000222044605]],
[[0.7500000000000000000000000,0.7624999999999999555910790,0.7750000000000000222044605],
[0.8625000000000000444089210,0.8750000000000000000000000,0.8874999999999999555910790],
[0.9749999999999999777955395,0.9875000000000000444089210,1.0000000000000000000000000]]]]
